Play,Type,Bnt,Fl,Loc,B,R1,Count,Probability,New Outs,Runs
Generic out,Pop-up,-,-,89S,Out,1st,5,  0.04%,2,0
Single,Liner,-,-,9LD,1st,3rd,5,  0.04%,1,0
Double,Fly,-,-,89XD,2nd,Score,5,  0.04%,1,1
Single,Grounder,-,-,5S,1st,2nd,5,  0.04%,1,0
Generic out,Liner,-,-,7S,Out,1st,5,  0.04%,2,0
Single,Grounder,-,-,34,1st,Out,5,  0.04%,2,0
Generic out,Liner,-,-,3S,Out,Out,5,  0.04%,3,0
Generic out,Grounder,-,-,4D,1st,Out,5,  0.04%,2,0
Single,Liner,-,-,9L,1st,2nd,5,  0.04%,1,0
Double,Fly,-,-,78XD,2nd,Score,5,  0.04%,1,1
Double,Liner,-,-,8XD,2nd,Score,5,  0.04%,1,1
Generic out,Pop-up,-,-,6M,Out,1st,5,  0.04%,2,0
Generic out,Pop-up,-,-,1S,Out,1st,5,  0.04%,2,0
Generic out,Fly,-,Y,3DF,Out,1st,5,  0.04%,2,0
Generic out,Liner,-,-,7L,Out,1st,5,  0.04%,2,0
Single,Fly,-,-,9LS,1st,3rd,5,  0.04%,1,0
Double,Liner,-,-,7L,2nd,Score,5,  0.04%,1,1
Generic out,Pop-up,-,-,6MS,Out,1st,5,  0.04%,2,0
Double,Liner,-,-,7D,2nd,Score,5,  0.04%,1,1
Single,Fly,-,-,9S,1st,2nd,4,  0.03%,1,0
Generic out,Grounder,-,-,2,1st,Out,4,  0.03%,2,0
Double,Grounder,-,-,56,2nd,3rd,4,  0.03%,1,0
Triple,Fly,-,-,89XD,3rd,Score,4,  0.03%,1,1
Generic out,Pop-up,-,Y,5DF,Out,1st,4,  0.03%,2,0
Generic out,Grounder,-,-,5S,Out,Out,4,  0.03%,3,0
Walk,-,-,-,-,1st,3rd,4,  0.03%,1,0
Generic out,Pop-up,-,-,56S,Out,1st,4,  0.03%,2,0
Generic out,Grounder,-,-,4MS,1st,Out,4,  0.03%,2,0
Double,Grounder,-,-,3,2nd,Score,4,  0.03%,1,1
Generic out,Liner,-,-,6,Out,Out,4,  0.03%,3,0
Single,Fly,-,-,8,1st,3rd,4,  0.03%,1,0
Single,Liner,-,-,9D,1st,3rd,4,  0.03%,1,0
Generic out,Grounder,-,-,34,2nd,Out,4,  0.03%,2,0
Single,Grounder,-,-,34S,1st,2nd,4,  0.03%,1,0
Generic out,Grounder,-,-,1,Out,2nd,4,  0.03%,2,0
Fielder's choice,Grounder,-,-,34S,1st,2nd,4,  0.03%,1,0
Double,Liner,-,-,8D,2nd,3rd,4,  0.03%,1,0
Single,Grounder,-,-,5,1st,3rd,4,  0.03%,1,0
Single,Fly,-,-,9S,1st,3rd,4,  0.03%,1,0
Single,Liner,-,-,9LS,1st,2nd,4,  0.03%,1,0
Generic out,Grounder,Y,-,25,Out,2nd,4,  0.03%,2,0
Home run,Liner,-,-,89XD,Score,Score,4,  0.03%,1,2
Double,Fly,-,-,7D,2nd,3rd,4,  0.03%,1,0
Generic out,Grounder,-,-,4MS,Out,Out,4,  0.03%,3,0
Single,Liner,-,-,78S,1st,3rd,4,  0.03%,1,0
Generic out,Liner,-,-,7LD,Out,1st,4,  0.03%,2,0
Generic out,Fly,-,Y,7LF,Out,1st,4,  0.03%,2,0
Generic out,Grounder,-,-,4D,Out,Out,4,  0.03%,3,0
Generic out,Liner,-,-,4,Out,Out,4,  0.03%,3,0
Double,Grounder,-,-,4,2nd,3rd,4,  0.03%,1,0
Generic out,Fly,-,-,78XD,Out,2nd,4,  0.03%,2,0
Double,Fly,-,-,8XD,2nd,3rd,3,  0.02%,1,0
Generic out,Liner,-,-,9L,Out,Out,3,  0.02%,3,0
Generic out,Liner,-,-,4M,Out,1st,3,  0.02%,2,0
Generic out,Grounder,-,-,5S,1st,Out,3,  0.02%,2,0
Generic out,Pop-up,-,-,34,1st,Out,3,  0.02%,2,0
Generic out,Fly,-,Y,5DF,Out,1st,3,  0.02%,2,0
Single,Grounder,-,-,6MS,1st,2nd,3,  0.02%,1,0
Triple,Fly,-,-,8XD,3rd,Score,3,  0.02%,1,1
Single,Grounder,Y,-,1S,1st,2nd,3,  0.02%,1,0
Triple,Liner,-,-,89D,3rd,Score,3,  0.02%,1,1
Triple,Liner,-,-,78XD,3rd,Score,3,  0.02%,1,1
Generic out,Grounder,-,-,56D,1st,Out,3,  0.02%,2,0
Single,Grounder,-,-,34,2nd,3rd,3,  0.02%,1,0
